dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,209.107633,144.206299,0.001000,0.200000,20.000000,2000.000000,4.704856
0.010000,209.107631,144.206063,0.001237,0.023654,-17.634650,-3763.464980,4.704841
0.010000,209.107627,144.205530,0.001769,0.053224,2.957039,2059.168874,4.704807
0.010000,209.107619,144.204584,0.002715,0.094632,4.140837,118.379783,4.704747
0.010000,209.107608,144.203105,0.004194,0.147894,5.326142,118.530533,4.704653
0.010000,209.107591,144.200975,0.006324,0.213033,6.513917,118.777506,4.704518
0.010000,209.107568,144.198074,0.009225,0.290087,7.705367,119.144950,4.704334
0.010000,209.107537,144.194283,0.013016,0.379106,8.901940,119.657300,4.704093
0.010000,209.106895,144.118427,0.088875,7.585908,720.680224,71177.828459,4.703788
0.010000,209.105964,144.012500,0.194806,10.593069,300.716087,-41996.413681,4.703411
0.010000,209.104784,143.884307,0.323005,12.819905,222.683608,-7803.247961,4.702955
0.010000,209.103303,143.731754,0.475565,15.255973,243.606809,2092.320069,4.702410
0.010000,209.101459,143.552669,0.654659,17.909463,265.348949,2174.214018,4.701770
0.010000,209.099176,143.344951,0.862390,20.773052,286.358967,2101.001814,4.701025
0.010000,209.096363,143.106470,1.100888,23.849779,307.672697,2131.373033,4.700168
0.010000,209.092928,142.836154,1.371225,27.033747,318.396789,1072.409229,4.699194
0.010000,209.088775,142.533944,1.673464,30.223833,319.008623,61.183324,4.698100
0.010000,209.083799,142.199877,2.007568,33.410428,318.659429,-34.919406,4.696887
0.010000,209.077880,141.833891,2.373602,36.603366,319.293787,63.435829,4.695552
0.010000,209.070890,141.435993,2.771562,39.796015,319.264970,-2.881671,4.694094
0.010000,209.062685,141.006138,3.201494,42.993245,319.723009,45.803853,4.692510
0.010000,209.053108,140.544295,3.663437,46.194302,320.105678,38.266973,4.690800
0.010000,209.041991,140.050436,4.157421,49.398427,320.412433,30.675417,4.688960
0.010000,209.029149,139.524544,4.683470,52.604854,320.642795,23.036209,4.686989
0.010000,209.014386,138.966574,5.241635,55.816458,321.160388,51.759351,4.684883
0.010000,208.997490,138.376495,5.831956,59.032149,321.569109,40.872116,4.682640
0.010000,208.978266,137.755316,6.453432,62.147632,311.548239,-1002.087035,4.680261
0.010000,208.956555,137.105149,7.103961,65.052892,290.525969,-2102.226974,4.677751
0.010000,208.932201,136.428083,7.781466,67.750445,269.755378,-2077.059117,4.675116
0.010000,208.905061,135.726214,8.483859,70.239311,248.886594,-2086.878401,4.672360
0.010000,208.875002,135.001643,9.209053,72.519417,228.010593,-2087.600129,4.669490
0.010000,208.841904,134.256440,9.954991,74.593839,207.442165,-2056.842790,4.666511
0.010000,208.805666,133.492764,10.719526,76.453509,185.966990,-2147.517446,4.663429
0.010000,208.766201,132.712675,11.500613,78.108652,165.514339,-2045.265121,4.660249
0.010000,208.723447,131.918338,12.296099,79.548647,143.999448,-2151.489131,4.656979
0.010000,208.677357,131.111814,13.103939,80.783992,123.534520,-2046.492784,4.653625
0.010000,208.627915,130.295264,13.921984,81.804510,102.051801,-2148.271890,4.650194
0.010000,208.575126,129.470817,14.748120,82.613532,80.902179,-2114.962207,4.646693
0.010000,208.519022,128.640601,15.580229,83.210962,59.743048,-2115.913078,4.643130
0.010000,208.459664,127.806734,16.416207,83.597744,38.678180,-2106.486810,4.639512
0.010000,208.397141,126.971368,17.253910,83.770290,17.254612,-2142.356856,4.635849
0.010000,208.331491,126.135585,18.092267,83.835738,6.544831,-1070.978112,4.632144
0.010000,208.262671,125.299390,18.931289,83.902209,6.647077,10.224676,4.628397
0.010000,208.190643,124.462787,19.770986,83.969709,6.750002,10.292437,4.624606
0.010000,208.115365,123.625783,20.611369,84.038245,6.853585,10.358301,4.620772
0.010000,208.036795,122.788383,21.452447,84.107823,6.957806,10.422156,4.616894
0.010000,207.954890,121.950593,22.294232,84.178449,7.062645,10.483887,4.612971
0.010000,207.869608,121.112419,23.136733,84.250130,7.168079,10.543369,4.609002
0.010000,207.780904,120.273869,23.979962,84.322871,7.274084,10.600477,4.604988
0.010000,207.688734,119.434947,24.823931,84.396963,7.409157,13.507334,4.600926
0.010000,207.593053,118.595664,25.668651,84.471987,7.502400,9.324286,4.596817
0.010000,207.493814,117.756031,26.514128,84.547745,7.575804,7.340408,4.592660
0.010000,207.390972,116.916057,27.360374,84.624583,7.683833,10.802945,4.588453
0.010000,207.284479,116.075753,28.207399,84.702506,7.792308,10.847463,4.584198
0.010000,207.174287,115.235129,29.055215,84.781518,7.901196,10.888753,4.579892
0.010000,207.060348,114.394197,29.903831,84.861660,8.014240,11.304411,4.575535
0.010000,206.942610,113.552960,30.753267,84.943555,8.189473,17.523340,4.571127
0.010000,206.821026,112.711438,31.603527,85.026047,8.249190,5.971728,4.566666
0.010000,206.695543,111.869642,32.454624,85.109640,8.359271,11.008097,4.562152
0.010000,206.566111,111.027589,33.306567,85.194335,8.469558,11.028698,4.557584
0.010000,206.432676,110.185291,34.159368,85.280135,8.580007,11.044828,4.552962
0.010000,206.295187,109.342765,35.013039,85.367041,8.690569,11.056254,4.548285
0.010000,206.153589,108.500027,35.867589,85.455053,8.801196,11.062733,4.543551
0.010000,206.007828,107.657096,36.723031,85.544171,8.911837,11.064009,4.538761
0.010000,205.857848,106.813988,37.579375,85.634396,9.022435,11.059816,4.533913
0.010000,205.703593,105.970718,38.436637,85.726192,9.179636,15.720104,4.529007
0.010000,205.545004,105.127290,39.294845,85.820806,9.461426,28.179060,4.524042
0.010000,205.382026,104.283745,40.153990,85.914516,9.370932,-9.049419,4.519018
0.010000,205.214601,103.440104,41.014083,86.009320,9.480459,10.952678,4.513932
0.010000,205.042671,102.596392,41.875135,86.105216,9.589603,10.914372,4.508786
0.010000,204.866176,101.752628,42.737161,86.202602,9.738515,14.891238,4.503577
0.010000,204.685049,100.908810,43.600200,86.303830,10.122892,38.437727,4.498305
0.010000,204.499236,100.064995,44.464231,86.403130,9.929969,-19.292329,4.492970
0.010000,204.308676,99.221210,45.329266,86.503494,10.036382,10.641318,4.487571
0.010000,204.113305,98.377477,46.195324,86.605814,10.232006,19.562426,4.482106
0.010000,203.913053,97.533800,47.062441,86.711642,10.582820,35.081311,4.476576
0.010000,203.707866,96.690244,47.930593,86.815289,10.364665,-21.815431,4.470978
0.010000,203.497679,95.846840,48.799793,86.919956,10.466698,10.203321,4.465314
0.010000,203.282417,95.003581,49.670094,87.030064,11.010842,54.414351,4.459581
0.010000,203.062025,94.160541,50.541466,87.137192,10.712755,-29.808689,4.453780
0.010000,202.836437,93.317759,51.413917,87.245158,10.796577,8.382155,4.447909
0.010000,202.605575,92.475227,52.287506,87.358915,11.375712,57.913504,4.441968
0.010000,202.369385,91.633032,53.162193,87.468692,10.977734,-39.797785,4.435956
0.010000,202.127794,90.791195,54.038011,87.581753,11.306105,32.837161,4.429872
0.010000,201.880732,89.949750,54.914977,87.696602,11.484921,17.881514,4.423715
0.010000,201.628140,89.108772,55.793070,87.809295,11.269270,-21.565064,4.417486
