dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,177.608526,144.443578,0.001000,0.200000,20.000000,2000.000000,4.704856
0.010000,177.608528,144.443814,0.001237,0.023654,-17.634650,-3763.464980,4.704841
0.010000,177.608532,144.444346,0.001769,0.053224,2.957039,2059.168874,4.704807
0.010000,177.608539,144.445293,0.002715,0.094632,4.140837,118.379783,4.704747
0.010000,177.608551,144.446772,0.004194,0.147894,5.326142,118.530533,4.704653
0.010000,177.608567,144.448902,0.006324,0.213033,6.513917,118.777506,4.704518
0.010000,177.608590,144.451803,0.009225,0.290087,7.705367,119.144950,4.704334
0.010000,177.608621,144.455594,0.013016,0.379106,8.901940,119.657300,4.704093
0.010000,177.608060,144.389343,0.079269,6.625281,624.617554,61571.561391,4.703788
0.010000,177.607234,144.295287,0.173329,9.405966,278.068464,-34654.908983,4.703411
0.010000,177.606186,144.181480,0.287141,11.381217,197.525082,-8054.338149,4.702955
0.010000,177.604872,144.046076,0.422551,13.540990,215.977299,1845.221670,4.702410
0.010000,177.603235,143.887163,0.581472,15.892143,235.115263,1913.796393,4.701770
0.010000,177.601209,143.702898,0.765749,18.427687,253.554444,1843.918115,4.701025
0.010000,177.598716,143.491415,0.977247,21.149744,272.205669,1865.122461,4.700168
0.010000,177.595670,143.251796,1.216884,23.963792,281.404805,919.913672,4.699194
0.010000,177.591991,142.984025,1.484681,26.779659,281.586703,18.189719,4.698100
0.010000,177.587584,142.688174,1.780565,29.588372,280.871321,-71.538151,4.696887
0.010000,177.582345,142.364235,2.104547,32.398177,280.980533,10.921211,4.695552
0.010000,177.576162,142.012262,2.456574,35.202722,280.454459,-52.607391,4.694094
0.010000,177.568909,141.632273,2.836632,38.005821,280.309869,-14.459072,4.692510
0.010000,177.560449,141.224297,3.244695,40.806294,280.047375,-26.249359,4.690800
0.010000,177.550636,140.788378,3.680724,43.602945,279.665070,-38.230534,4.688960
0.010000,177.539310,140.324571,4.144670,46.394555,279.161027,-50.404230,4.686989
0.010000,177.526302,139.832912,4.636501,49.183095,278.853923,-30.710385,4.684883
0.010000,177.511428,139.313455,5.156171,51.967014,278.391985,-46.193861,4.682640
0.010000,177.494522,138.767176,5.702711,54.654033,268.701899,-969.008616,4.680261
0.010000,177.475449,138.196021,6.274185,57.147335,249.330164,-1937.173504,4.677751
0.010000,177.454080,137.601912,6.868679,59.449385,230.205030,-1912.513324,4.675116
0.010000,177.430294,136.986775,7.484275,61.559661,211.027576,-1917.745460,4.672360
0.010000,177.403983,136.352535,8.119060,63.478526,191.886459,-1914.111695,4.669490
0.010000,177.375049,135.701085,8.771152,65.209176,173.065072,-1882.138722,4.666511
0.010000,177.343413,135.034393,9.438595,66.744279,153.510300,-1955.477171,4.663429
0.010000,177.309008,134.354328,10.119529,68.093442,134.916226,-1859.407357,4.660249
0.010000,177.271791,133.662847,10.812011,69.248148,115.470638,-1944.558795,4.656979
0.010000,177.231729,132.961807,11.514195,70.218370,97.022237,-1844.840169,4.653625
0.010000,177.188820,132.253144,12.224156,70.996150,77.777944,-1924.429302,4.650194
0.010000,177.143078,131.538753,12.940010,71.585358,58.920867,-1885.707656,4.646693
0.010000,177.094542,130.820522,13.659879,71.986947,40.158845,-1876.202177,4.643130
0.010000,177.043275,130.100316,14.381907,72.202819,21.587252,-1857.159376,4.639512
0.010000,176.989365,129.380020,15.104218,72.231023,2.820378,-1876.687360,4.635849
0.010000,176.932854,128.660587,15.825867,72.164907,-6.611613,-943.199086,4.632144
0.010000,176.873718,127.942038,16.546846,72.097907,-6.699996,-8.838323,4.628397
0.010000,176.811932,127.224392,17.267146,72.030005,-6.790194,-9.019753,4.624606
0.010000,176.747472,126.507673,17.986758,71.961183,-6.882212,-9.201860,4.620772
0.010000,176.680315,125.791903,18.705672,71.891423,-6.976056,-9.384396,4.616894
0.010000,176.610434,125.077103,19.423879,71.820705,-7.071727,-9.567091,4.612971
0.010000,176.537807,124.363299,20.141369,71.749013,-7.169224,-9.749658,4.609002
0.010000,176.462407,123.650512,20.858132,71.676328,-7.268542,-9.931787,4.604988
0.010000,176.384210,122.938766,21.574161,71.602873,-7.345498,-7.695601,4.600926
0.010000,176.303190,122.228087,22.289444,71.528270,-7.460270,-11.477205,4.596817
0.010000,176.219323,121.518503,23.003967,71.452331,-7.593905,-13.363527,4.592660
0.010000,176.132582,120.810040,23.717720,71.375328,-7.700294,-10.638949,4.588453
0.010000,176.042944,120.102725,24.430693,71.297244,-7.808415,-10.812068,4.584198
0.010000,175.950381,119.396585,25.142873,71.218061,-7.918239,-10.982394,4.579892
0.010000,175.854869,118.691648,25.854251,71.137796,-8.026570,-10.833109,4.575535
0.010000,175.756380,117.987937,26.564821,71.056947,-8.084880,-5.831000,4.571127
0.010000,175.654889,117.285486,27.274566,70.974529,-8.241827,-15.694733,4.566666
0.010000,175.550371,116.584323,27.983475,70.890946,-8.358278,-11.645044,4.562152
0.010000,175.442798,115.884481,28.691537,70.806184,-8.476232,-11.795378,4.557584
0.010000,175.332146,115.185989,29.398740,70.720227,-8.595629,-11.939689,4.552962
0.010000,175.218387,114.488879,30.105070,70.633063,-8.716402,-12.077329,4.548285
0.010000,175.101496,113.793184,30.810517,70.544678,-8.838478,-12.207619,4.543551
0.010000,174.981446,113.098937,31.515068,70.455061,-8.961777,-12.329849,4.538761
0.010000,174.858211,112.406170,32.218710,70.364199,-9.086209,-12.443275,4.533913
0.010000,174.731764,111.714915,32.921434,70.272464,-9.173443,-8.723373,4.529007
0.010000,174.602077,111.025193,33.623243,70.180863,-9.160090,1.335283,4.524042
0.010000,174.469125,110.337056,34.324106,70.086342,-9.452082,-29.199161,4.519018
0.010000,174.332883,109.650539,35.024012,69.990539,-9.580377,-12.829534,4.513932
0.010000,174.193325,108.965679,35.722946,69.893446,-9.709262,-12.888479,4.508786
0.010000,174.050423,108.282511,36.420900,69.795385,-9.806069,-9.680692,4.503577
0.010000,173.904147,107.601051,37.117883,69.698254,-9.713167,9.290170,4.498305
0.010000,173.754477,106.921361,37.813856,69.597387,-10.086647,-37.348019,4.492970
0.010000,173.601385,106.243481,38.508809,69.495219,-10.216857,-13.020985,4.487571
0.010000,173.444846,105.567443,39.202733,69.392470,-10.274839,-5.798201,4.482106
0.010000,173.284828,104.893269,39.895637,69.290384,-10.208650,6.618868,4.476576
0.010000,173.121312,104.221026,40.587481,69.184423,-10.596031,-38.738060,4.470978
0.010000,172.954272,103.550755,41.278253,69.077175,-10.724825,-12.879365,4.465314
0.010000,172.783676,102.882464,41.967975,68.972158,-10.501738,22.308645,4.459581
0.010000,172.609506,102.216227,42.656602,68.862708,-10.944956,-44.321779,4.453780
0.010000,172.431736,101.552088,43.344121,68.751894,-11.081447,-13.649070,4.447909
0.010000,172.250334,100.890055,44.030557,68.643632,-10.826159,25.528828,4.441968
0.010000,172.065284,100.230209,44.715860,68.530269,-11.336336,-51.017790,4.435956
0.010000,171.876558,99.572578,45.400035,68.417552,-11.271663,6.467350,4.429872
0.010000,171.684129,98.917201,46.083079,68.304339,-11.321302,-4.963949,4.423715
0.010000,171.487982,98.264146,46.764955,68.187609,-11.673034,-35.173191,4.417486
0.010000,171.288079,97.613417,47.445696,68.074097,-11.351158,32.187676,4.411183
0.010000,171.084412,96.965105,48.125246,67.955073,-11.902450,-55.129212,4.404806
0.010000,170.876946,96.319220,48.803634,67.838751,-11.632160,27.028960,4.398354
0.010000,170.665668,95.675836,49.480821,67.718660,-12.009137,-37.697738,4.391827
0.010000,170.450548,95.034977,50.156821,67.600005,-11.865428,14.370908,4.385223
0.010000,170.231571,94.396711,50.831606,67.478525,-12.148046,-28.261768,4.378544
0.010000,170.008708,93.761065,51.505188,67.358230,-12.029540,11.850591,4.371787
0.010000,169.781947,93.128109,52.177538,67.234996,-12.323326,-29.378566,4.364952
0.010000,169.551257,92.497865,52.848675,67.113733,-12.126347,19.697864,4.358040
0.010000,169.316631,91.870412,53.518561,66.988550,-12.518296,-39.194851,4.351049
0.010000,169.078033,91.245761,54.187229,66.866797,-12.175264,34.303143,4.343980
0.010000,168.835459,90.623996,54.854637,66.740854,-12.594358,-41.909418,4.336832
0.010000,168.588882,90.005144,55.520804,66.616642,-12.421210,17.314852,4.329604
0.010000,168.338286,89.389260,56.185719,66.491467,-12.517473,-9.626329,4.322297
0.010000,168.083659,88.776404,56.849366,66.364729,-12.673806,-15.633317,4.314911
0.010000,167.824970,88.166596,57.511775,66.240923,-12.380585,29.322113,4.307444
0.010000,167.562216,87.559912,58.172915,66.113960,-12.696309,-31.572331,4.299897
0.010000,167.295378,86.956395,58.832790,65.987555,-12.640463,5.584580,4.292271
0.010000,167.024433,86.356076,59.491420,65.862960,-12.459553,18.091008,4.284565
