dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,173.394105,174.992179,0.001000,0.200000,20.000000,2000.000000,1.576952
0.010000,173.394106,174.992047,0.001132,0.013205,-18.679533,-3867.953326,1.576960
0.010000,173.394108,174.991750,0.001429,0.029715,1.651017,2033.055002,1.576979
0.010000,173.394111,174.991222,0.001958,0.052841,2.312635,66.161869,1.577013
0.010000,173.394116,174.990396,0.002784,0.082602,2.976114,66.347867,1.577065
0.010000,173.394124,174.989205,0.003974,0.119029,3.642640,66.652557,1.577141
0.010000,173.394134,174.987584,0.005596,0.162166,4.313698,67.105809,1.577244
0.010000,173.394138,174.986945,0.006234,0.063853,-9.831259,-1414.495684,1.577378
0.010000,173.393616,175.065263,0.084553,7.831915,776.806153,78663.741241,1.577549
0.010000,173.392953,175.161929,0.181222,9.666841,183.492662,-59331.349105,1.577760
0.010000,173.392123,175.278895,0.298191,11.696958,203.011715,1951.905222,1.578016
0.010000,173.391097,175.418071,0.437370,13.917901,222.094296,1908.258157,1.578322
0.010000,173.389839,175.581386,0.600690,16.331997,241.409583,1931.528730,1.578683
0.010000,173.388305,175.770767,0.790078,18.938750,260.675232,1926.564890,1.579103
0.010000,173.386447,175.988134,1.007453,21.737527,279.877778,1920.254548,1.579587
0.010000,173.384214,176.234434,1.253763,24.630968,289.344055,946.627684,1.580139
0.010000,173.381558,176.509638,1.528980,27.521734,289.076586,-26.746889,1.580760
0.010000,173.378423,176.813738,1.833096,30.411576,288.984206,-9.237972,1.581451
0.010000,173.374748,177.146695,2.166073,33.297749,288.617348,-36.685799,1.582214
0.010000,173.370466,177.508497,2.527900,36.182699,288.494956,-12.239170,1.583050
0.010000,173.365501,177.899107,2.918542,39.064188,288.148916,-34.604079,1.583962
0.010000,173.359772,178.318495,3.337969,41.942733,287.854531,-29.438414,1.584951
0.010000,173.353190,178.766629,3.786151,44.818194,287.546065,-30.846683,1.586019
0.010000,173.345657,179.243455,4.263037,47.688576,287.038180,-50.788444,1.587169
0.010000,173.337069,179.748952,4.768607,50.556958,286.838222,-19.995831,1.588403
0.010000,173.327312,180.283057,5.302801,53.419453,286.249524,-58.869791,1.589724
0.010000,173.316284,180.844769,5.864621,56.181981,276.252763,-999.676110,1.591132
0.010000,173.303901,181.432117,6.452099,58.747832,256.585108,-1966.765475,1.592625
0.010000,173.290080,182.043128,7.063267,61.116730,236.889843,-1969.526490,1.594202
0.010000,173.274745,182.675827,7.696152,63.288522,217.179216,-1971.062697,1.595860
0.010000,173.257824,183.328247,8.348791,65.263946,197.542401,-1963.681520,1.597597
0.010000,173.239252,183.998436,9.019237,67.044602,178.065554,-1947.684737,1.599410
0.010000,173.218972,184.684413,9.705514,68.627670,158.306787,-1975.876668,1.601297
0.010000,173.196936,185.384227,10.405675,70.016113,138.844346,-1946.244114,1.603255
0.010000,173.173108,186.095931,11.117778,71.210293,119.418008,-1942.633816,1.605281
0.010000,173.147460,186.817562,11.839865,72.208644,99.835103,-1958.290436,1.607371
0.010000,173.119980,187.547176,12.569996,73.013095,80.445053,-1939.005071,1.609521
0.010000,173.090667,188.282832,13.306236,73.624038,61.094320,-1935.073210,1.611728
0.010000,173.059536,189.022597,14.046655,74.041930,41.789209,-1930.511124,1.613987
0.010000,173.026616,189.764540,14.789328,74.267283,22.535245,-1925.396427,1.616293
0.010000,172.991954,190.506737,15.532335,74.300654,3.337087,-1919.815818,1.618642
0.010000,172.955565,191.248223,16.274713,74.237792,-6.286148,-962.323458,1.621031
0.010000,172.917423,191.988982,17.016453,74.174070,-6.372243,-8.609482,1.623460
0.010000,172.877501,192.729001,17.757548,74.109467,-6.460245,-8.800268,1.625930
0.010000,172.835773,193.468264,18.497988,74.043965,-6.550195,-8.994930,1.628442
0.010000,172.792212,194.206756,19.237763,73.977544,-6.642129,-9.193477,1.630996
0.010000,172.746790,194.944460,19.976865,73.910183,-6.736089,-9.395908,1.633592
0.010000,172.699481,195.681362,20.715283,73.841862,-6.832111,-9.602215,1.636232
0.010000,172.650257,196.417444,21.453009,73.772560,-6.930234,-9.812380,1.638917
0.010000,172.599089,197.152688,22.190032,73.702255,-7.030498,-10.026376,1.641645
0.010000,172.545950,197.887077,22.926341,73.630925,-7.132940,-10.244163,1.644419
0.010000,172.490811,198.620593,23.661926,73.558549,-7.237597,-10.465692,1.647240
0.010000,172.433645,199.353217,24.396777,73.485104,-7.344506,-10.690898,1.650106
0.010000,172.374421,200.084930,25.130883,73.410567,-7.453703,-10.919706,1.653020
0.010000,172.313111,200.815712,25.864232,73.334915,-7.565223,-11.152023,1.655982
0.010000,172.249685,201.545542,26.596813,73.258124,-7.679100,-11.387743,1.658993
