dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,189.143807,175.089128,0.001000,0.200000,20.000000,2000.000000,1.576952
0.010000,189.143807,175.089128,0.005000,0.600000,40.000000,2000.000000,1.576960
0.010000,189.143807,175.089128,0.014000,1.200000,60.000000,2000.000000,1.576979
0.010000,189.143807,175.089128,0.030000,2.000000,80.000000,2000.000000,1.577013
0.010000,189.143807,175.089128,0.055000,3.000000,100.000000,2000.000000,1.577065
0.010000,189.143807,175.089128,0.091000,4.200000,120.000000,2000.000000,1.577141
0.010000,189.143807,175.089128,0.140000,5.600000,140.000000,2000.000000,1.577244
0.010000,189.143797,175.090610,0.204000,7.200000,160.000000,2000.000000,1.577378
0.010000,189.143257,175.171617,0.285000,9.000000,180.000000,2000.000000,1.577549
0.010000,189.142571,175.271609,0.385000,11.000000,200.000000,2000.000000,1.577760
0.010000,189.141713,175.392612,0.506000,13.200000,220.000000,2000.000000,1.578016
0.010000,189.140651,175.536605,0.650000,15.600000,240.000000,2000.000000,1.578322
0.010000,189.139349,175.705596,0.819000,18.200000,260.000000,2000.000000,1.578683
0.010000,189.137762,175.901588,1.015000,21.000000,280.000000,2000.000000,1.579103
0.010000,189.135839,176.126583,1.240000,24.000000,300.000000,2000.000000,1.579587
0.010000,189.133527,176.381577,1.495000,27.000000,300.000000,0.000000,1.580139
0.010000,189.130776,176.666561,1.780000,30.000000,300.000000,-0.000000,1.580760
0.010000,189.127529,176.981547,2.095000,33.000000,300.000000,0.000000,1.581451
0.010000,189.123722,177.326520,2.440000,36.000000,300.000000,0.000000,1.582214
0.010000,189.119283,177.701494,2.815000,39.000000,300.000000,0.000000,1.583050
0.010000,189.114136,178.106461,3.220000,42.000000,300.000000,0.000000,1.583962
0.010000,189.108195,178.541422,3.655000,45.000000,300.000000,-0.000000,1.584951
0.010000,189.101365,179.006377,4.120000,48.000000,300.000000,0.000000,1.586019
0.010000,189.093546,179.501311,4.615000,51.000000,300.000000,0.000000,1.587169
0.010000,189.084628,180.026240,5.140000,54.000000,300.000000,-0.000000,1.588403
0.010000,189.074491,180.581145,5.695000,57.000000,300.000000,0.000000,1.589724
0.010000,189.063028,181.165031,6.279000,59.800000,280.000000,-2000.000000,1.591132
0.010000,189.050149,181.775897,6.890000,62.400000,260.000000,-2000.000000,1.592625
0.010000,189.035766,182.411737,7.526000,64.800000,240.000000,-2000.000000,1.594202
0.010000,189.019798,183.070542,8.185000,67.000000,220.000000,-2000.000000,1.595860
0.010000,189.002168,183.750309,8.865000,69.000000,200.000000,-2000.000000,1.597597
0.010000,188.982805,184.449046,9.564000,70.800000,180.000000,-2000.000000,1.599410
0.010000,188.961646,185.164731,10.280000,72.400000,160.000000,-2000.000000,1.601297
0.010000,188.938640,185.895366,11.011000,73.800000,140.000000,-2000.000000,1.603255
0.010000,188.913744,186.638955,11.755000,75.000000,120.000000,-2000.000000,1.605281
0.010000,188.886927,187.393479,12.510000,76.000000,100.000000,-2000.000000,1.607371
0.010000,188.858172,188.156937,13.274000,76.800000,80.000000,-2000.000000,1.609521
0.010000,188.827475,188.927323,14.045000,77.400000,60.000000,-2000.000000,1.611728
0.010000,188.794848,189.702636,14.821000,77.800000,40.000000,-2000.000000,1.613987
0.010000,188.760318,190.480869,15.600000,78.000000,20.000000,-2000.000000,1.616293
0.010000,188.723930,191.260018,16.380000,78.000000,0.000000,-2000.000000,1.618642
0.010000,188.685697,192.039080,17.160000,78.000000,0.000000,0.000000,1.621031
0.010000,188.645587,192.818047,17.940000,78.000000,0.000000,0.000000,1.623460
0.010000,188.603570,193.596914,18.720000,78.000000,0.000000,0.000000,1.625930
0.010000,188.559612,194.375674,19.500000,78.000000,0.000000,0.000000,1.628442
0.010000,188.513682,195.154321,20.280000,78.000000,0.000000,0.000000,1.630996
0.010000,188.465747,195.932847,21.060000,78.000000,0.000000,0.000000,1.633592
0.010000,188.415773,196.711245,21.840000,78.000000,0.000000,0.000000,1.636232
0.010000,188.363728,197.489508,22.620000,78.000000,0.000000,0.000000,1.638917
0.010000,188.309576,198.267627,23.400000,78.000000,0.000000,0.000000,1.641645
0.010000,188.253284,199.045594,24.180000,78.000000,0.000000,0.000000,1.644419
0.010000,188.194816,199.823401,24.960000,78.000000,0.000000,0.000000,1.647240
0.010000,188.134137,200.601038,25.740000,78.000000,0.000000,0.000000,1.650106
0.010000,188.071210,201.378496,26.520000,78.000000,0.000000,0.000000,1.653020
0.010000,188.005999,202.155766,27.300000,78.000000,0.000000,0.000000,1.655982
0.010000,187.938468,202.932837,28.080000,78.000000,0.000000,0.000000,1.658993
0.010000,187.868579,203.709699,28.860000,78.000000,0.000000,0.000000,1.662053
0.010000,187.796293,204.486340,29.640000,78.000000,0.000000,0.000000,1.665163
0.010000,187.721572,205.262750,30.420000,78.000000,0.000000,0.000000,1.668325
0.010000,187.644377,206.038916,31.200000,78.000000,0.000000,0.000000,1.671538
0.010000,187.564668,206.814833,31.980000,78.000000,0.000000,0.000000,1.674803
0.010000,187.482405,207.590488,32.760000,78.000000,0.000000,0.000000,1.678122
0.010000,187.397547,208.365861,33.540000,78.000000,0.000000,0.000000,1.681495
0.010000,187.310054,209.140939,34.320000,78.000000,0.000000,0.000000,1.684923
0.010000,187.219882,209.915707,35.100000,78.000000,0.000000,0.000000,1.688406
0.010000,187.126991,210.690151,35.880000,78.000000,0.000000,0.000000,1.691946
0.010000,187.031337,211.464259,36.660000,78.000000,0.000000,0.000000,1.695544
0.010000,186.932875,212.238026,37.440000,78.000000,0.000000,0.000000,1.699200
0.010000,186.831561,213.011421,38.220000,78.000000,0.000000,0.000000,1.702915
0.010000,186.727353,213.784428,39.000000,78.000000,0.000000,0.000000,1.706691
0.010000,186.620203,214.557028,39.780000,78.000000,0.000000,0.000000,1.710527
0.010000,186.510067,215.329209,40.560000,78.000000,0.000000,0.000000,1.714426
0.010000,186.396894,216.100962,41.340000,78.000000,0.000000,0.000000,1.718388
0.010000,186.280642,216.872251,42.120000,78.000000,0.000000,0.000000,1.722413
0.010000,186.161261,217.643056,42.900000,78.000000,0.000000,0.000000,1.726504
0.010000,186.038703,218.413363,43.680000,78.000000,0.000000,0.000000,1.730661
0.010000,185.912917,219.183161,44.460000,78.000000,0.000000,0.000000,1.734884
0.010000,185.783856,219.952409,45.240000,78.000000,0.000000,0.000000,1.739176
0.010000,185.651469,220.721082,46.020000,78.000000,0.000000,0.000000,1.743536
0.010000,185.515702,221.489183,46.800000,78.000000,0.000000,0.000000,1.747967
0.010000,185.376507,222.256664,47.580000,78.000000,0.000000,0.000000,1.752469
0.010000,185.233833,223.023495,48.360000,78.000000,0.000000,0.000000,1.757043
0.010000,185.087622,223.789674,49.140000,78.000000,0.000000,0.000000,1.761691
0.010000,184.937823,224.555156,49.920000,78.000000,0.000000,0.000000,1.766413
0.010000,184.784386,225.319904,50.700000,78.000000,0.000000,0.000000,1.771210
0.010000,184.627248,226.083921,51.480000,78.000000,0.000000,0.000000,1.776084
0.010000,184.466361,226.847145,52.260000,78.000000,0.000000,0.000000,1.781036
0.010000,184.301667,227.609555,53.040000,78.000000,0.000000,0.000000,1.786067
0.010000,184.133106,228.371130,53.820000,78.000000,0.000000,0.000000,1.791178
0.010000,183.960629,229.131809,54.600000,78.000000,0.000000,0.000000,1.796371
0.010000,183.784168,229.891596,55.380000,78.000000,0.000000,0.000000,1.801645
0.010000,183.603674,230.650419,56.160000,78.000000,0.000000,0.000000,1.807004
0.010000,183.419083,231.408265,56.940000,78.000000,0.000000,0.000000,1.812446
0.010000,183.230337,232.165082,57.720000,78.000000,0.000000,0.000000,1.817975
0.010000,183.037378,232.920836,58.500000,78.000000,0.000000,0.000000,1.823591
