dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,204.893508,175.186077,0.001000,0.200000,20.000000,2000.000000,1.576952
0.010000,204.893508,175.186209,0.001132,0.013205,-18.679533,-3867.953326,1.576960
0.010000,204.893506,175.186507,0.001429,0.029715,1.651017,2033.055002,1.576979
0.010000,204.893502,175.187035,0.001958,0.052841,2.312635,66.161869,1.577013
0.010000,204.893497,175.187861,0.002784,0.082602,2.976114,66.347867,1.577065
0.010000,204.893490,175.189051,0.003974,0.119029,3.642640,66.652557,1.577141
0.010000,204.893479,175.190673,0.005596,0.162166,4.313698,67.105809,1.577244
0.010000,204.893456,175.194276,0.009199,0.360301,19.813575,1549.987732,1.577378
0.010000,204.892898,175.277971,0.092896,8.369696,800.939463,78112.588772,1.577549
0.010000,204.892189,175.381290,0.196217,10.332114,196.241749,-60469.771403,1.577760
0.010000,204.891302,175.506328,0.321258,12.504156,217.204204,2096.245507,1.578016
0.010000,204.890205,175.655139,0.470074,14.881526,237.737085,2053.288102,1.578322
0.010000,204.888859,175.829806,0.644745,17.467159,258.563243,2082.615858,1.578683
0.010000,204.887219,176.032410,0.847356,20.261052,279.389300,2082.605667,1.579103
0.010000,204.885230,176.265033,1.079987,23.263152,300.210051,2082.075110,1.579587
0.010000,204.882840,176.528721,1.343686,26.369926,310.677317,1046.726533,1.580139
0.010000,204.879994,176.823485,1.638464,29.477731,310.780566,10.324983,1.580760
0.010000,204.876635,177.149357,1.964353,32.588932,311.120086,33.951989,1.581451
0.010000,204.872695,177.506346,2.321364,35.701085,311.215292,9.520561,1.582214
0.010000,204.868101,177.894492,2.709537,38.817320,311.623458,40.816572,1.583050
0.010000,204.862771,178.313815,3.128895,41.935760,311.844058,22.060055,1.583962
0.010000,204.856617,178.764348,3.579470,45.057497,312.173672,32.961357,1.584951
0.010000,204.849540,179.246126,4.061299,48.182931,312.543455,36.978339,1.586019
0.010000,204.841435,179.759167,4.574404,51.310489,312.755711,21.225595,1.587169
0.010000,204.832187,180.303529,5.118845,54.444070,313.358127,60.241566,1.588403
0.010000,204.821670,180.879234,5.694646,57.580101,313.603149,24.502231,1.589724
0.010000,204.809771,181.485293,6.300822,60.617650,303.754832,-984.831674,1.591132
0.010000,204.796396,182.119677,6.935346,63.452419,283.476929,-2027.790288,1.592625
0.010000,204.781452,182.780346,7.596184,66.083815,263.139639,-2033.729079,1.594202
0.010000,204.764852,183.465257,8.281297,68.511281,242.746587,-2039.305127,1.595860
0.010000,204.746512,184.172371,8.988649,70.735133,222.385137,-2036.145041,1.597597
0.010000,204.726357,184.899657,9.716214,72.756536,202.140327,-2024.480987,1.599410
0.010000,204.704321,185.645049,10.461932,74.571776,181.524061,-2061.626643,1.601297
0.010000,204.680344,186.406505,11.223765,76.183330,161.155371,-2036.868962,1.603255
0.010000,204.654380,187.181978,11.999673,77.590774,140.744419,-2041.095174,1.605281
0.010000,204.626394,187.969396,12.787588,78.791505,120.073110,-2067.130968,1.607371
0.010000,204.596364,188.766697,13.585454,79.786651,99.514575,-2055.853508,1.609521
