dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.289503,41.519691,0.001000,0.200000,20.000000,2000.000000,6.282083
0.010000,6.289193,41.519691,0.001310,0.030964,-16.903586,-3690.358614,6.282102
0.010000,6.288496,41.519692,0.002006,0.069665,3.870128,2077.371394,6.282147
0.010000,6.287258,41.519693,0.003245,0.123836,5.417089,154.696166,6.282225
0.010000,6.285323,41.519695,0.005179,0.193460,6.962379,154.528964,6.282348
0.010000,6.282538,41.519697,0.007964,0.278509,8.504930,154.255050,6.282525
0.010000,6.278749,41.519699,0.011754,0.378943,10.043405,153.847544,6.282766
0.010000,6.273802,41.519701,0.016701,0.494705,11.576199,153.279380,6.283080
0.010000,6.327010,41.519709,0.069909,5.320864,482.615818,47103.961890,0.000292
0.010000,6.419291,41.519758,0.162190,9.228072,390.720846,-9189.497200,0.000782
0.010000,6.530958,41.519879,0.273857,11.166727,193.865529,-19685.531630,0.001374
0.010000,6.663862,41.520108,0.406762,13.290425,212.369745,1850.421566,0.002079
0.010000,6.819860,41.520497,0.562759,15.599777,230.935231,1856.548578,0.002904
0.010000,7.000799,41.521109,0.743700,18.094060,249.428282,1849.305107,0.003861
0.010000,7.208539,41.522025,0.951442,20.774160,268.009974,1858.169207,0.004956
0.010000,7.444014,41.523338,1.186920,23.547845,277.368574,935.859966,0.006196
0.010000,7.707236,41.525151,1.450148,26.322827,277.498194,12.962058,0.007578
0.010000,7.998226,41.527578,1.741148,29.100008,277.718072,21.987782,0.009102
0.010000,8.316994,41.530745,2.059932,31.878368,277.836008,11.793588,0.010766
0.010000,8.663562,41.534789,2.406525,34.659246,278.087805,25.179738,0.012570
0.010000,9.037947,41.539859,2.780943,37.441870,278.262330,17.452460,0.014512
0.010000,9.440169,41.546114,3.183215,40.227130,278.526093,26.376349,0.016590
0.010000,9.870253,41.553726,3.613365,43.015069,278.793889,26.779604,0.018802
0.010000,10.328219,41.562876,4.071423,45.805747,279.067734,27.384434,0.021148
0.010000,10.814090,41.573755,4.557415,48.599244,279.349718,28.198432,0.023624
0.010000,11.327894,41.586566,5.071379,51.396392,279.714770,36.505158,0.026230
0.010000,11.868727,41.601494,5.612418,54.103920,270.752821,-896.194880,0.028958
0.010000,12.434767,41.618694,6.178720,56.630118,252.619834,-1813.298712,0.031796
0.010000,13.024179,41.638309,6.768458,58.973890,234.377180,-1824.265416,0.034733
0.010000,13.635135,41.660464,7.379815,61.135664,216.177441,-1819.973892,0.037758
0.010000,14.265798,41.685268,8.010967,63.115145,197.948041,-1822.939946,0.040859
0.010000,14.914334,41.712812,8.660087,64.912032,179.688700,-1825.934167,0.044026
0.010000,15.578902,41.743163,9.325347,66.526019,161.398710,-1828.999002,0.047248
0.010000,16.257658,41.776369,10.004915,67.956789,143.077000,-1832.170936,0.050513
0.010000,16.948762,41.812453,10.696960,69.204523,124.773438,-1830.356178,0.053812
0.010000,17.650360,41.851414,11.399640,70.267940,106.341699,-1843.173894,0.057134
0.010000,18.360602,41.893227,12.111111,71.147130,87.918993,-1842.270658,0.060469
0.010000,19.077636,41.937841,12.829532,71.842109,69.497900,-1842.109273,0.063807
0.010000,19.799600,41.985180,13.553046,72.351438,50.932863,-1856.503730,0.067140
0.010000,20.524640,42.035142,14.279805,72.675891,32.445343,-1848.751949,0.070456
0.010000,21.250885,42.087599,15.007943,72.813780,13.788844,-1865.649903,0.073749
0.010000,21.977408,42.142471,15.736535,72.859194,4.541461,-924.738348,0.077013
0.010000,22.704200,42.199740,16.465579,72.904422,4.522818,-1.864282,0.080248
0.010000,23.431260,42.259386,17.195082,72.950289,4.586672,6.385431,0.083455
0.010000,24.158582,42.321391,17.925043,72.996066,4.577699,-0.897365,0.086632
0.010000,24.886166,42.385737,18.655466,73.042358,4.629220,5.152164,0.089779
0.010000,25.614006,42.452404,19.386353,73.088635,4.627626,-0.159451,0.092898
0.010000,26.342100,42.521374,20.117706,73.135325,4.669025,4.139923,0.095986
0.010000,27.070443,42.592627,20.849526,73.182054,4.672899,0.387378,0.099045
0.010000,27.799035,42.666144,21.581818,73.229114,4.706042,3.314359,0.102074
0.010000,28.527870,42.741905,22.314580,73.276252,4.713795,0.775274,0.105074
0.010000,29.256948,42.819892,23.047817,73.323655,4.740260,2.646477,0.108043
0.010000,29.986264,42.900084,23.781528,73.371161,4.750573,1.031270,0.110982
0.010000,30.715816,42.982461,24.515717,73.418877,4.771693,2.112017,0.113890
0.010000,31.445603,43.067004,25.250384,73.466712,4.783472,1.177874,0.116769
0.010000,32.175621,43.153692,25.985531,73.514716,4.800380,1.690875,0.119616
0.010000,32.905868,43.242507,26.721160,73.562843,4.812717,1.233637,0.122434
0.010000,33.636343,43.333426,27.457271,73.611107,4.826382,1.366563,0.125220
0.010000,34.367043,43.426431,28.193866,73.659492,4.838519,1.213671,0.127976
0.010000,35.097966,43.521500,28.930946,73.707990,4.849776,1.125709,0.130701
0.010000,35.829111,43.618613,29.668512,73.756601,4.861078,1.130144,0.133395
0.010000,36.560475,43.717750,30.406565,73.805307,4.870653,0.957591,0.136058
0.010000,37.292058,43.818890,31.145106,73.854113,4.880581,0.992717,0.138691
0.010000,38.023858,43.922013,31.884136,73.903004,4.889118,0.853714,0.141292
0.010000,38.755874,44.027096,32.623656,73.951976,4.897207,0.808965,0.143862
0.010000,39.488104,44.134121,33.363666,74.001029,4.905282,0.807422,0.146401
0.010000,40.220548,44.243065,34.104167,74.050140,4.911129,0.584745,0.148909
0.010000,40.953204,44.353907,34.845161,74.099333,4.919264,0.813539,0.151386
0.010000,41.686071,44.466627,35.586646,74.148558,4.922510,0.324538,0.153831
0.010000,42.419150,44.581204,36.328625,74.197870,4.931190,0.868060,0.156245
0.010000,43.152439,44.697616,37.071097,74.247185,4.931508,0.031759,0.158628
0.010000,43.885938,44.815842,37.814063,74.296597,4.941187,0.967859,0.160979
0.010000,44.619647,44.935860,38.557523,74.345980,4.938277,-0.290976,0.163299
0.010000,45.353565,45.057650,39.301477,74.395474,4.949381,1.110435,0.165588
0.010000,46.087692,45.181189,40.045926,74.444903,4.942965,-0.641602,0.167845
0.010000,46.822029,45.306458,40.790871,74.494462,4.955902,1.293696,0.170071
0.010000,47.556574,45.433433,41.536310,74.543919,4.945718,-1.018398,0.172265
0.010000,48.291330,45.562093,42.282245,74.593528,4.960876,1.515757,0.174428
0.010000,49.026294,45.692417,43.028675,74.642995,4.946678,-1.419798,0.176559
0.010000,49.761471,45.824384,43.775602,74.692639,4.964426,1.774780,0.178659
0.010000,50.496857,45.957971,44.523023,74.742099,4.945983,-1.844236,0.180728
0.010000,51.232455,46.093157,45.270940,74.791766,4.966672,2.068831,0.182765
0.010000,51.968265,46.229920,46.019352,74.841203,4.943771,-2.290016,0.184770
0.010000,52.704290,46.368238,46.768261,74.890881,4.967729,2.395764,0.186744
0.010000,53.440528,46.508090,47.517664,74.940283,4.940177,-2.755202,0.188687
0.010000,54.176983,46.649454,48.267564,74.989951,4.966881,2.670435,0.190598
0.010000,54.913653,46.792307,49.017957,75.039321,4.936987,-2.989455,0.192478
0.010000,55.650542,46.936629,49.768846,75.088955,4.963384,2.639707,0.194326
0.010000,56.387650,47.082397,50.520229,75.138299,4.934377,-2.900735,0.196143
0.010000,57.124981,47.229589,51.272108,75.187879,4.957976,2.359929,0.197928
0.010000,57.862533,47.378183,52.024480,75.237190,4.931150,-2.682624,0.199683
0.010000,58.600311,47.528158,52.777347,75.286704,4.951435,2.028545,0.201405
0.010000,59.338315,47.679492,53.530707,75.335978,4.927388,-2.404653,0.203097
0.010000,60.076548,47.832161,54.284561,75.385417,4.943895,1.650636,0.204757
0.010000,60.815011,47.986145,55.038908,75.434649,4.923169,-2.072560,0.206386
0.010000,61.553707,48.141422,55.793748,75.484004,4.935487,1.231772,0.207983
0.010000,62.292638,48.297968,56.549079,75.533189,4.918561,-1.692574,0.209549
0.010000,63.031808,48.455764,57.304904,75.582453,4.926341,0.777999,0.211084
0.010000,63.771217,48.614785,58.061220,75.631589,4.913627,-1.271396,0.212588
0.010000,64.510869,48.775011,58.818027,75.680755,4.916585,0.295822,0.214060
