dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.272138,25.769701,0.001000,0.200000,20.000000,2000.000000,6.282083
0.010000,6.272138,25.769701,0.005000,0.600000,40.000000,2000.000000,6.282102
0.010000,6.272138,25.769701,0.014000,1.200000,60.000000,2000.000000,6.282147
0.010000,6.272138,25.769701,0.030000,2.000000,80.000000,2000.000000,6.282225
0.010000,6.272138,25.769701,0.055000,3.000000,100.000000,2000.000000,6.282348
0.010000,6.272138,25.769701,0.091000,4.200000,120.000000,2000.000000,6.282525
0.010000,6.272138,25.769701,0.140000,5.600000,140.000000,2000.000000,6.282766
0.010000,6.272138,25.769701,0.204000,7.200000,160.000000,2000.000000,6.283080
0.010000,6.331604,25.769709,0.285000,9.000000,180.000000,2000.000000,0.000292
0.010000,6.431604,25.769763,0.385000,11.000000,200.000000,2000.000000,0.000782
0.010000,6.552603,25.769893,0.506000,13.200000,220.000000,2000.000000,0.001374
0.010000,6.696602,25.770142,0.650000,15.600000,240.000000,2000.000000,0.002079
0.010000,6.865603,25.770563,0.819000,18.200000,260.000000,2000.000000,0.002904
0.010000,7.061603,25.771226,1.015000,21.000000,280.000000,2000.000000,0.003861
0.010000,7.286600,25.772218,1.240000,24.000000,300.000000,2000.000000,0.004956
0.010000,7.541596,25.773640,1.495000,27.000000,300.000000,0.000000,0.006196
0.010000,7.826587,25.775603,1.780000,30.000000,300.000000,-0.000000,0.007578
0.010000,8.141578,25.778230,2.095000,33.000000,300.000000,0.000000,0.009102
0.010000,8.486559,25.781657,2.440000,36.000000,300.000000,0.000000,0.010766
0.010000,8.861535,25.786033,2.815000,39.000000,300.000000,0.000000,0.012570
0.010000,9.266497,25.791517,3.220000,42.000000,300.000000,0.000000,0.014512
0.010000,9.701444,25.798282,3.655000,45.000000,300.000000,-0.000000,0.016590
0.010000,10.166372,25.806510,4.120000,48.000000,300.000000,0.000000,0.018802
0.010000,10.661273,25.816398,4.615000,51.000000,300.000000,0.000000,0.021148
0.010000,11.186140,25.828150,5.140000,54.000000,300.000000,-0.000000,0.023624
0.010000,11.740968,25.841984,5.695000,57.000000,300.000000,0.000000,0.026230
0.010000,12.324744,25.858097,6.279000,59.800000,280.000000,-2000.000000,0.028958
0.010000,12.935464,25.876655,6.890000,62.400000,260.000000,-2000.000000,0.031796
0.010000,13.571111,25.897808,7.526000,64.800000,240.000000,-2000.000000,0.034733
0.010000,14.229678,25.921690,8.185000,67.000000,220.000000,-2000.000000,0.037758
0.010000,14.909152,25.948414,8.865000,69.000000,200.000000,-2000.000000,0.040859
0.010000,15.607522,25.978073,9.564000,70.800000,180.000000,-2000.000000,0.044026
0.010000,16.322776,26.010739,10.280000,72.400000,160.000000,-2000.000000,0.047248
0.010000,17.052900,26.046458,11.011000,73.800000,140.000000,-2000.000000,0.050513
0.010000,17.795890,26.085251,11.755000,75.000000,120.000000,-2000.000000,0.053812
0.010000,18.549728,26.127113,12.510000,76.000000,100.000000,-2000.000000,0.057134
0.010000,19.312405,26.172013,13.274000,76.800000,80.000000,-2000.000000,0.060469
0.010000,20.081918,26.219892,14.045000,77.400000,60.000000,-2000.000000,0.063807
0.010000,20.856253,26.270665,14.821000,77.800000,40.000000,-2000.000000,0.067140
0.010000,21.633411,26.324218,15.600000,78.000000,20.000000,-2000.000000,0.070456
0.010000,22.411383,26.380412,16.380000,78.000000,0.000000,-2000.000000,0.073749
0.010000,23.189168,26.439155,17.160000,78.000000,0.000000,0.000000,0.077013
0.010000,23.966757,26.500426,17.940000,78.000000,0.000000,0.000000,0.080248
