dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.254773,10.019710,0.001000,0.200000,20.000000,2000.000000,6.282083
0.010000,6.255082,10.019710,0.001310,0.030964,-16.903586,-3690.358614,6.282102
0.010000,6.255779,10.019709,0.002006,0.069665,3.870128,2077.371394,6.282147
0.010000,6.257017,10.019708,0.003245,0.123836,5.417089,154.696166,6.282225
0.010000,6.258952,10.019706,0.005179,0.193460,6.962379,154.528964,6.282348
0.010000,6.261737,10.019704,0.007964,0.278509,8.504930,154.255050,6.282525
0.010000,6.265526,10.019702,0.011754,0.378943,10.043405,153.847544,6.282766
0.010000,6.270473,10.019701,0.016701,0.494705,11.576199,153.279380,6.283080
0.010000,6.336197,10.019710,0.082425,6.572374,607.766827,59619.062827,0.000292
0.010000,6.443917,10.019768,0.190144,10.771969,419.959532,-18780.729537,0.000782
0.010000,6.574249,10.019908,0.320476,13.033185,226.121552,-19383.797961,0.001374
0.010000,6.729341,10.020176,0.475569,15.509294,247.610920,2148.936778,0.002079
0.010000,6.911347,10.020630,0.657576,18.200651,269.135763,2152.484315,0.002904
0.010000,7.122406,10.021344,0.868635,21.105984,290.533282,2139.751856,0.003861
0.010000,7.364662,10.022412,1.110894,24.225824,311.983940,2145.065864,0.004956
0.010000,7.639178,10.023942,1.385414,27.452079,322.625565,1064.162510,0.006196
0.010000,7.945938,10.026055,1.692181,30.676698,322.461886,-16.367952,0.007578
0.010000,8.284930,10.028882,2.031185,33.900337,322.363896,-9.798958,0.009102
0.010000,8.656125,10.032570,2.402399,37.121406,322.106879,-25.701682,0.010766
0.010000,9.059508,10.037277,2.805809,40.341053,321.964699,-14.218084,0.012570
0.010000,9.495048,10.043175,3.241389,43.557959,321.690578,-27.412012,0.014512
0.010000,9.962719,10.050449,3.709116,46.772733,321.477415,-21.316312,0.016590
0.010000,10.462490,10.059294,4.208966,49.984983,321.225013,-25.240234,0.018802
0.010000,10.994328,10.069919,4.740909,53.194330,320.934735,-29.027818,0.021148
0.010000,11.558190,10.082545,5.304914,56.400410,320.608009,-32.672599,0.023624
0.010000,12.154042,10.097401,5.900951,59.603717,320.330682,-27.732725,0.026230
0.010000,12.780761,10.114700,6.527908,62.695730,309.201290,-1112.939147,0.028958
0.010000,13.436160,10.134616,7.183610,65.570172,287.444204,-2175.708619,0.031796
0.010000,14.118043,10.157307,7.865870,68.226050,265.587834,-2185.637024,0.034733
0.010000,14.824221,10.182915,8.572512,70.664222,243.817107,-2177.072662,0.037758
0.010000,15.552506,10.211559,9.301360,72.884780,222.055819,-2176.128787,0.040859
0.010000,16.300710,10.243335,10.050239,74.887892,200.311243,-2174.457610,0.044026
0.010000,17.066650,10.278316,10.816977,76.673790,178.589795,-2172.144779,0.047248
0.010000,17.848143,10.316547,11.599405,78.242761,156.897067,-2169.272805,0.050513
0.010000,18.643018,10.358049,12.395362,79.595728,135.296761,-2160.030649,0.053812
0.010000,19.449096,10.402812,13.202682,80.731993,113.626423,-2167.033730,0.057134
0.010000,20.264209,10.450799,14.019207,81.652486,92.049384,-2157.703981,0.060469
0.010000,21.086201,10.501943,14.842788,82.358103,70.561655,-2148.772900,0.063807
0.010000,21.912906,10.556150,15.671269,82.848109,49.000587,-2156.106807,0.067140
0.010000,22.742183,10.613295,16.502512,83.124345,27.623565,-2137.702176,0.070456
0.010000,23.571880,10.673224,17.334371,83.185857,6.151236,-2147.232910,0.073749
0.010000,24.400929,10.735839,18.165780,83.140957,-4.490028,-1064.126416,0.077013
0.010000,25.229314,10.801112,18.996733,83.095284,-4.567301,-7.727215,0.080248
0.010000,26.057031,10.869016,19.827231,83.049800,-4.548367,1.893388,0.083455
0.010000,26.884068,10.939522,20.657268,83.003697,-4.610331,-6.196450,0.086632
0.010000,27.710420,11.012602,21.486845,82.957683,-4.601409,0.892261,0.089779
0.010000,28.536075,11.088228,22.315957,82.911174,-4.650848,-4.943952,0.092898
0.010000,29.361029,11.166373,23.144604,82.864679,-4.649497,0.135073,0.095986
0.010000,30.185272,11.247008,23.972782,82.817792,-4.688754,-3.925656,0.099045
0.010000,31.008799,11.330104,24.800490,82.770862,-4.692948,-0.419424,0.102074
0.010000,31.831602,11.415633,25.627726,82.723622,-4.723991,-3.104288,0.105074
0.010000,32.653676,11.503566,26.454489,82.676302,-4.732051,-0.805989,0.108043
0.010000,33.475013,11.593876,27.280777,82.628736,-4.756537,-2.448577,0.110982
0.010000,34.295609,11.686533,28.106587,82.581066,-4.767073,-1.053651,0.113890
0.010000,35.115458,11.781509,28.931919,82.533202,-4.786399,-1.932529,0.116769
0.010000,35.934555,11.878776,29.756772,82.485219,-4.798263,-1.186429,0.119616
0.010000,36.752896,11.978304,30.581142,82.437083,-4.813610,-1.534732,0.122434
0.010000,37.570476,12.080065,31.405031,82.388824,-4.825850,-1.223988,0.125220
0.010000,38.387290,12.184030,32.228435,82.340442,-4.838227,-1.237738,0.127976
0.010000,39.203336,12.290170,33.051354,82.291942,-4.850050,-1.182253,0.130701
0.010000,40.018609,12.398458,33.873788,82.243338,-4.860325,-1.027468,0.133395
0.010000,40.833107,12.508863,34.695734,82.194628,-4.871064,-1.073973,0.136058
0.010000,41.646826,12.621358,35.517192,82.145828,-4.879991,-0.892692,0.138691
0.010000,42.459763,12.735914,36.338162,82.096937,-4.889084,-0.909230,0.141292
0.010000,43.271918,12.852502,37.158641,82.047964,-4.897329,-0.824535,0.143862
0.010000,44.083286,12.971093,37.978631,81.998921,-4.904288,-0.695908,0.146401
0.010000,44.893866,13.091659,38.798129,81.949796,-4.912448,-0.816044,0.148909
0.010000,45.703658,13.214171,39.617135,81.900628,-4.916850,-0.440115,0.151386
0.010000,46.512658,13.338600,40.435649,81.851373,-4.925468,-0.861796,0.153831
0.010000,47.320867,13.464919,41.253670,81.802104,-4.926933,-0.146556,0.156245
0.010000,48.128284,13.593099,42.071197,81.752739,-4.936508,-0.957541,0.158628
