dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.227477,313.895879,0.001000,0.200000,20.000000,2000.000000,0.001073
0.010000,6.227777,313.895879,0.001300,0.030000,-16.999974,-3699.997355,0.001054
0.010000,6.228452,313.895880,0.001975,0.067497,3.749652,2074.962574,0.001011
0.010000,6.229652,313.895881,0.003175,0.119981,5.248448,149.879563,0.000935
0.010000,6.231527,313.895882,0.005049,0.187437,6.745609,149.716081,0.000816
0.010000,6.234225,313.895884,0.007748,0.269838,8.240091,149.448268,0.000645
0.010000,6.237896,313.895886,0.011419,0.367144,9.730590,149.049861,0.000411
0.010000,6.242689,313.895888,0.016212,0.479300,11.215534,148.494424,0.000107
0.010000,6.307218,313.895879,0.080741,6.452863,597.356375,58614.084115,6.282908
0.010000,6.414697,313.895824,0.188220,10.747924,429.506102,-16785.027344,6.282433
0.010000,6.544738,313.895688,0.318261,13.004082,225.615745,-20389.035640,6.281859
0.010000,6.699485,313.895430,0.473008,15.474727,247.064507,2144.876189,6.281176
0.010000,6.881085,313.894993,0.654608,18.160045,268.531867,2146.735966,6.280376
0.010000,7.091673,313.894304,0.865198,21.058947,289.890148,2135.828077,6.279450
0.010000,7.333390,313.893272,1.106917,24.171887,311.294018,2140.386974,6.278388
0.010000,7.607296,313.891794,1.380827,27.391032,321.914490,1062.047204,6.277188
0.010000,7.913375,313.889753,1.686913,30.608585,321.755286,-15.920308,6.275849
0.010000,8.251615,313.887022,2.025163,33.825022,321.643734,-11.155265,6.274373
0.010000,8.621990,313.883459,2.395555,37.039227,321.420498,-22.323561,6.272760
0.010000,9.024481,313.878911,2.798073,40.251734,321.250704,-16.979409,6.271013
0.010000,9.459061,313.873213,3.232690,43.461720,320.998547,-25.215689,6.269133
0.010000,9.925704,313.866185,3.699386,46.669616,320.789593,-20.895473,6.267120
0.010000,10.424382,313.857638,4.198137,49.875048,320.543240,-24.635279,6.264977
0.010000,10.955059,313.847371,4.728913,53.077656,320.260780,-28.245941,6.262706
0.010000,11.517698,313.835172,5.291684,56.277092,319.943566,-31.721441,6.260308
0.010000,12.112259,313.820816,5.886419,59.473503,319.641119,-30.244709,6.257785
0.010000,12.737632,313.804101,6.512015,62.559571,308.606869,-1103.424942,6.255144
0.010000,13.391628,313.784857,7.166294,65.427954,286.838292,-2176.857708,6.252396
0.010000,14.072062,313.762931,7.847081,68.078677,265.072305,-2176.598733,6.249552
0.010000,14.776750,313.738187,8.552204,70.512242,243.356493,-2171.581184,6.246624
0.010000,15.503511,313.710510,9.279491,72.728747,221.650500,-2170.599330,6.243621
0.010000,16.250163,313.679807,10.026775,74.728360,199.961244,-2168.925535,6.240556
0.010000,17.014529,313.646007,10.791888,76.511308,178.294831,-2166.641325,6.237438
0.010000,17.794434,313.609067,11.572666,78.077874,156.656579,-2163.825223,6.234277
0.010000,18.587706,313.568967,12.366951,79.428475,135.060087,-2159.649213,6.231084
0.010000,19.392182,313.525717,13.172590,80.563840,113.536501,-2152.358599,6.227869
0.010000,20.205696,313.479352,13.987423,81.483384,91.954380,-2158.212107,6.224641
0.010000,21.026093,313.429936,14.809307,82.188390,70.500644,-2145.373560,6.221411
0.010000,21.851222,313.377562,15.636097,82.678921,49.053144,-2144.750006,6.218186
0.010000,22.678935,313.322349,16.465649,82.955281,27.636005,-2141.713869,6.214976
0.010000,23.507097,313.264446,17.295833,83.018377,6.309586,-2132.641948,6.211790
0.010000,24.334632,313.203947,18.125576,82.974322,-4.405520,-1071.510637,6.208632
0.010000,25.161535,313.140881,18.954881,82.930484,-4.383786,2.173428,6.205501
0.010000,25.987794,313.075273,19.783740,82.885916,-4.456808,-7.302185,6.202399
0.010000,26.813405,313.007150,20.612157,82.841672,-4.424435,3.237252,6.199325
0.010000,27.638355,312.936539,21.440124,82.796706,-4.496605,-7.216967,6.196279
0.010000,28.462642,312.863468,22.267644,82.751954,-4.475137,2.146771,6.193262
0.010000,29.286255,312.787963,23.094710,82.706681,-4.527292,-5.215500,6.190274
0.010000,30.109190,312.710051,23.921325,82.661478,-4.520391,0.690125,6.187314
0.010000,30.931439,312.629761,24.747484,82.615911,-4.556663,-3.627141,6.184383
0.010000,31.752995,312.547119,25.573187,82.570305,-4.560552,-0.388933,6.181481
0.010000,32.573854,312.462152,26.398432,82.524459,-4.584602,-2.405016,6.178609
0.010000,33.394010,312.374888,27.223217,82.478500,-4.595952,-1.134958,6.175765
0.010000,34.213457,312.285354,28.047541,82.432390,-4.611028,-1.507622,6.172951
0.010000,35.032191,312.193578,28.871402,82.386121,-4.626902,-1.587369,6.170166
0.010000,35.850206,312.099587,29.694800,82.339762,-4.635884,-0.898211,6.167411
0.010000,36.667499,312.003409,30.517732,82.293225,-4.653694,-1.781046,6.164685
0.010000,37.484065,311.905072,31.340198,82.246633,-4.659136,-0.544219,6.161989
0.010000,38.299901,311.804602,32.162197,82.199867,-4.676605,-1.746880,6.159322
0.010000,39.115002,311.702028,32.983728,82.153060,-4.680773,-0.416745,6.156685
0.010000,39.929367,311.597377,33.804789,82.106101,-4.695895,-1.512280,6.154078
0.010000,40.742991,311.490676,34.625379,82.059093,-4.700796,-0.490060,6.151501
0.010000,41.555872,311.381953,35.445499,82.011974,-4.711834,-1.103755,6.148953
0.010000,42.368008,311.271236,36.265147,81.964783,-4.719182,-0.734844,6.146436
0.010000,43.179396,311.158553,37.084322,81.917530,-4.725301,-0.611906,6.143949
0.010000,43.990034,311.043929,37.903024,81.870182,-4.734710,-0.940949,6.141492
0.010000,44.799921,310.927394,38.721252,81.822809,-4.737299,-0.258884,6.139064
0.010000,45.609055,310.808974,39.539006,81.775338,-4.747117,-0.981745,6.136667
0.010000,46.417434,310.688698,40.356284,81.727857,-4.748109,-0.099212,6.134300
0.010000,47.225059,310.566591,41.173087,81.680291,-4.756621,-0.851187,6.131964
0.010000,48.031927,310.442682,41.989414,81.632713,-4.757770,-0.114884,6.129657
0.010000,48.838039,310.316998,42.805265,81.585079,-4.763435,-0.566503,6.127381
0.010000,49.643393,310.189566,43.620639,81.537416,-4.766326,-0.289126,6.125135
0.010000,50.447991,310.060413,44.435537,81.489738,-4.767764,-0.143774,6.122919
0.010000,51.251831,309.929567,45.249957,81.442000,-4.773825,-0.606158,6.120734
0.010000,52.054915,309.797054,46.063900,81.394302,-4.769807,0.401844,6.118579
0.010000,52.857242,309.662902,46.877365,81.346499,-4.780317,-1.050994,6.116454
0.010000,53.658814,309.527137,47.690353,81.298801,-4.769757,1.055926,6.114359
0.010000,54.459630,309.389787,48.502862,81.250943,-4.785850,-1.609262,6.112295
0.010000,55.259693,309.250877,49.314895,81.203264,-4.767804,1.804612,6.110261
0.010000,56.059002,309.110436,50.126448,81.155360,-4.790475,-2.267060,6.108258
0.010000,56.857562,308.968489,50.937525,81.107699,-4.766117,2.435766,6.106285
0.010000,57.655370,308.825064,51.748123,81.059796,-4.790264,-2.414718,6.104342
0.010000,58.452432,308.680186,52.558245,81.012131,-4.766537,2.372741,6.102430
0.010000,59.248746,308.533883,53.367887,80.964271,-4.785916,-1.937975,6.100548
0.010000,60.044317,308.386180,54.177053,80.916595,-4.767626,1.829026,6.098696
0.010000,60.839146,308.237105,54.985741,80.868795,-4.780048,-1.242160,6.096874
0.010000,61.633236,308.086682,55.793952,80.821113,-4.768202,1.184593,6.095083
0.010000,62.426588,307.934940,56.601686,80.773384,-4.772836,-0.463367,6.093322
0.010000,63.219206,307.781903,57.408943,80.725701,-4.768295,0.454093,6.091592
0.010000,64.011093,307.627597,58.215724,80.678057,-4.764453,0.384145,6.089891
0.010000,64.802251,307.472050,59.022027,80.630377,-4.767932,-0.347898,6.088221
0.010000,65.592684,307.315286,59.827856,80.582827,-4.755070,1.286193,6.086581
0.010000,66.382393,307.157331,60.633207,80.535155,-4.767139,-1.206865,6.084972
0.010000,67.171385,306.998211,61.438084,80.487707,-4.744852,2.228661,6.083392
0.010000,67.959660,306.837951,62.242485,80.440048,-4.765936,-2.108355,6.081843
0.010000,68.747224,306.676578,63.046412,80.392702,-4.734538,3.139817,6.080324
0.010000,69.534078,306.514117,63.849863,80.345070,-4.763187,-2.864931,6.078835
0.010000,70.320229,306.350592,64.652840,80.297785,-4.728526,3.466131,6.077376
0.010000,71.105678,306.186030,65.455343,80.250269,-4.751576,-2.305080,6.075947
0.010000,71.890431,306.020455,66.257373,80.203005,-4.726443,2.513333,6.074548
0.010000,72.674490,305.853893,67.058929,80.155610,-4.739498,-1.305497,6.073180
0.010000,73.457862,305.686368,67.860013,80.108368,-4.724174,1.532369,6.071841
0.010000,74.240548,305.517907,68.660624,80.061097,-4.727106,-0.293154,6.070532
0.010000,75.022555,305.348532,69.460763,80.013880,-4.721719,0.538732,6.069254
