dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.261276,282.395897,0.001000,0.200000,20.000000,2000.000000,0.001073
0.010000,6.260976,282.395896,0.001300,0.030000,-16.999974,-3699.997355,0.001054
0.010000,6.260301,282.395896,0.001975,0.067497,3.749652,2074.962574,0.001011
0.010000,6.259101,282.395895,0.003175,0.119981,5.248448,149.879563,0.000935
0.010000,6.257227,282.395893,0.005049,0.187437,6.745609,149.716081,0.000816
0.010000,6.254528,282.395891,0.007748,0.269838,8.240091,149.448268,0.000645
0.010000,6.250857,282.395889,0.011419,0.367144,9.730590,149.049861,0.000411
0.010000,6.246064,282.395888,0.016212,0.479300,11.215534,148.494424,0.000107
0.010000,6.298467,282.395880,0.068615,5.240340,476.104000,46488.846591,6.282908
0.010000,6.390989,282.395833,0.161137,9.252133,401.179358,-7492.464167,6.282433
0.010000,6.502947,282.395716,0.273095,11.195809,194.367549,-20681.180960,6.281859
0.010000,6.636197,282.395494,0.406345,13.325056,212.924742,1855.719309,6.281176
0.010000,6.792600,282.395117,0.562749,15.640339,231.528347,1860.360529,6.280376
0.010000,6.974010,282.394523,0.744160,18.141081,250.074122,1854.577473,6.279450
0.010000,7.182289,282.393635,0.952441,20.828096,268.701553,1862.743100,6.278388
0.010000,7.418375,282.392361,1.188530,23.608920,278.082394,938.084126,6.277188
0.010000,7.682279,282.390601,1.452440,26.391029,278.210861,12.846638,6.275849
0.010000,7.974021,282.388245,1.744192,29.175165,278.413597,20.273648,6.274373
0.010000,8.293613,282.385171,2.063799,31.960703,278.553812,14.021501,6.272760
0.010000,8.641076,282.381245,2.411283,34.748449,278.774571,22.075919,6.271013
0.010000,9.016424,282.376323,2.786664,37.538043,278.959395,18.482393,6.269133
0.010000,9.419680,282.370249,3.189966,40.330217,279.217421,25.802603,6.267120
0.010000,9.850867,282.362859,3.621216,43.125015,279.479859,26.243780,6.264977
0.010000,10.310006,282.353976,4.080441,45.922501,279.748589,26.873046,6.262706
0.010000,10.797119,282.343414,4.567668,48.722757,280.025563,27.697399,6.260308
0.010000,11.312232,282.330977,5.082932,51.526302,280.354493,32.892995,6.257785
0.010000,11.854443,282.316485,5.625336,54.240454,271.415249,-893.924404,6.255144
0.010000,12.421919,282.299787,6.193057,56.772142,253.168779,-1824.647008,6.252396
0.010000,13.012824,282.280745,6.784269,59.121146,234.900434,-1826.834541,6.249552
0.010000,13.625322,282.259239,7.397145,61.287593,216.644667,-1825.576716,6.246624
0.010000,14.257576,282.235161,8.029857,63.271192,198.359856,-1828.481061,6.243621
0.010000,14.907743,282.208425,8.680573,65.071648,180.045649,-1831.420726,6.240556
